Date,Ouverture,Plus Haut,Plus Bas,Ferme,Clôture Ajustée,Volume
1 sept. 2020,"132,76","134,80","130,53","134,18","130,98",151 948 100
31 août 2020,"127,58","131,00","126,00","129,04","125,97",225 702 700
28 août 2020,"126,01","126,44","124,58","124,81","121,83",187 630 000
27 août 2020,"127,14","127,49","123,83","125,01","122,03",155 552 400
26 août 2020,"126,18","126,99","125,08","126,52","123,51",163 022 400
25 août 2020,"124,70","125,18","123,05","124,82","121,85",211 495 600
24 août 2020,"128,70","128,79","123,94","125,86","122,86",345 937 600
21 août 2020,"119,26","124,87","119,25","124,37","121,41",338 054 800
20 août 2020,"115,75","118,39","115,73","118,28","115,46",126 907 200
19 août 2020,"115,98","117,16","115,61","115,71","112,95",145 538 000
18 août 2020,"114,35","116,00","114,01","115,56","112,81",105 633 600
17 août 2020,"116,06","116,09","113,96","114,61","111,88",119 561 600
14 août 2020,"114,83","115,00","113,04","114,91","112,17",165 565 200
13 août 2020,"114,43","116,04","113,93","115,01","112,27",210 082 000
12 août 2020,"110,50","113,28","110,30","113,01","110,32",165 598 000
11 août 2020,"111,97","112,48","109,11","109,38","106,77",187 902 400
10 août 2020,"112,60","113,78","110,00","112,73","110,04",212 403 600
7 août 2020,"113,21","113,68","110,29","111,11","108,46",198 045 600
6 août 2020,"110,40","114,41","109,80","113,90","110,99",202 428 800
5 août 2020,"109,38","110,39","108,90","110,06","107,25",121 776 800
4 août 2020,"109,13","110,79","108,39","109,67","106,86",173 071 600
3 août 2020,"108,20","111,64","107,89","108,94","106,15",308 151 200
31 juil. 2020,"102,89","106,42","100,82","106,26","103,54",374 336 800
30 juil. 2020,"94,19","96,30","93,77","96,19","93,73",158 130 000
29 juil. 2020,"93,75","95,23","93,71","95,04","92,61",90 329 200
28 juil. 2020,"94,37","94,55","93,25","93,25","90,87",103 625 600
27 juil. 2020,"93,71","94,90","93,48","94,81","92,38",121 214 000
24 juil. 2020,"90,99","92,97","89,14","92,61","90,25",185 438 800
23 juil. 2020,"97,00","97,08","92,01","92,85","90,47",197 004 400
22 juil. 2020,"96,69","97,97","96,60","97,27","94,78",89 001 600
21 juil. 2020,"99,17","99,25","96,74","97,00","94,52",103 433 200
20 juil. 2020,"96,42","98,50","96,06","98,36","95,84",90 318 000
17 juil. 2020,"96,99","97,15","95,84","96,33","93,86",92 186 800
16 juil. 2020,"96,56","97,40","95,90","96,52","94,05",110 577 600
15 juil. 2020,"98,99","99,25","96,49","97,72","95,22",153 198 000
14 juil. 2020,"94,84","97,25","93,88","97,06","94,57",170 989 200
13 juil. 2020,"97,26","99,96","95,26","95,48","93,03",191 649 200
10 juil. 2020,"95,33","95,98","94,71","95,92","93,47",90 257 200
9 juil. 2020,"96,26","96,32","94,67","95,75","93,30",125 642 800
8 juil. 2020,"94,18","95,38","94,09","95,34","92,90",117 092 000
7 juil. 2020,"93,85","94,65","93,06","93,17","90,79",112 424 400
6 juil. 2020,"92,50","93,94","92,47","93,46","91,07",118 655 600
2 juil. 2020,"91,96","92,62","90,91","91,03","88,70",114 041 600
1 juil. 2020,"91,28","91,84","90,98","91,03","88,70",110 737 200
